"tax_cat","prod","n_obs","lm_r2","lm_adj_r2","lm_aic","lm_bic","lm_rmse","lm_df","lm_fstat","lm_pval","seg_r2","seg_adj_r2","seg_aic","seg_bic","seg_rmse","seg_df","seg_fstat","seg_pval","lm_XSSB_p_value","lm_xSSB_intervention_p_value","lm_xSSB_post_p_value","lm_t_p_value","seg_XSSB_p_value","seg_xSSB_intervention_p_value","seg_xSSB_post_p_value","seg_t_p_value"
"Reduced Tax Group","פרלינים/בונבונירות",290,0.433907222263467,0.425962060470674,2792.0704928847,2814.08977842259,29.2034383638191,285,54.6127610210578,3.8429468157381e-34,0.436287854411747,0.424336360158992,2794.84836270894,2824.20741009279,29.1419679713051,283,36.5048792381082,1.17944769576601e-32,NA,0.69841412002882,0.684602743480287,0.695253170409347,NA,0.965748499403756,0.580393368231031,0.339337985566791
"Reduced Tax Group","בשר",290,0.403417375417238,0.395044285949409,2793.60827279326,2815.62755833114,29.280969479906,285,48.1802298861466,6.31131312146444e-31,0.413038929999056,0.400594525688082,2792.89309022551,2822.25213760936,29.0438911596349,283,33.1907353439826,3.22474377500206e-30,NA,0.1320050763125,0.214351991894819,0.00423470369919364,NA,0.0155667552985931,0.205974596725678,0.262883569774838
"Reduced Tax Group","דגים",290,0.423527903362736,0.415437066918705,2776.58919946972,2798.60848500761,28.434254687772,285,52.3466153706707,4.99735600926914e-33,0.427458178602161,0.415319482742136,2778.60526481617,2807.96431220001,28.3371592863096,283,35.2145060335407,1.02166421549572e-31,NA,0.744594184363617,0.60089823174156,0.80856917853605,NA,0.700462883586693,0.507988733972157,0.44590145985313
"Reduced Tax Group","משקאות אלכוהול משני",290,0.450040046598706,0.442321310410617,2785.80651945243,2807.82580499031,28.8897395825492,285,58.3048876956326,6.47087135005347e-36,0.452457633295289,0.440848961209676,2788.52888884853,2817.88793623237,28.8261709757875,283,38.9758303067293,2.06194354846325e-34,NA,0.681384032328195,0.701839584019201,0.661445019902901,NA,0.956470377460711,0.596463996669105,0.338585051220867
"Reduced Tax Group","תבלינים",290,0.481406760252857,0.47412825864237,2770.6092966176,2792.62858215549,28.1425985763503,285,66.1409155366934,1.60486466332018e-39,0.483627207208816,0.472679374146105,2773.36494543126,2802.72399281511,28.082285236662,283,44.1756103183649,5.88138982222175e-38,NA,0.787011054057163,0.538528233209494,0.909230956239773,NA,0.709934137382792,0.519391265051711,0.951948354737117
"Reduced Tax Group","מחלבות",290,0.499421194347904,0.492395526900156,2765.30076895799,2787.32005449588,27.8861948493479,285,71.0852311274622,1.07936172791352e-41,0.500519479625624,0.489929786614153,2768.6638010296,2798.02284841344,27.8555864671051,283,47.264777088765,5.68769843617397e-40,NA,0.417791161955167,0.865732109048692,0.191437331699155,NA,0.787553073675172,0.915683777435113,0.514959147196501
"Reduced Tax Group","נקניקים",290,0.422107642790604,0.413996872864859,2781.3663553675,2803.38564090538,28.6694198718564,285,52.0428574173599,7.07276720568587e-33,0.423849494244539,0.411634289175519,2784.49093328147,2813.84998066532,28.6261803680977,283,34.6985164677657,2.44445041617769e-31,NA,0.490335745380187,0.984188697728644,0.292320244795856,NA,0.607386212971097,0.903018195699864,0.228887800522891
"Reduced Tax Group","מזון תינוקות משני",290,0.419168387760102,0.411016365132173,2789.51984994024,2811.53913547812,29.0752935390115,285,51.4189431128482,1.44735115081102e-32,0.427565899577777,0.415429487554691,2789.29650151061,2818.65554889446,28.8643468080886,283,35.2300085696215,9.95314521064041e-32,NA,0.558128336617104,0.0666208404968702,0.0777241288891643,NA,0.111560035307002,0.0625232621350469,0.499819476434752
"Reduced Tax Group","נס קפה מגורען",290,0.419977545000932,0.411836878965858,2790.89573119334,2812.91501673122,29.1443480872111,285,51.5900717694878,1.18883824070429e-32,0.425964337684839,0.413793970285931,2791.88689580338,2821.24594318722,28.9935489752444,283,35.0001215019243,1.46705741631436e-31,NA,0.822801571472237,0.516893241029977,0.977583960891606,NA,0.468195422019139,0.45269303976369,0.705467202914556
"Reduced Tax Group","תוספים משני",290,0.432613552314617,0.424650233750611,2783.14506231959,2805.16434785747,28.7574763714507,285,54.3257875265787,5.30462657748585e-34,0.434515686340659,0.422526619619966,2786.17121886852,2815.53026625236,28.7092319194024,283,36.242661456767,1.82426908133777e-32,NA,0.909889509900472,0.41011873011391,0.822859050461851,NA,0.664677686973281,0.392225946045541,0.987436200746786
